,TOT_POP,PCT_U18,PC_18_65,PCT_O65,MALE_FEM
522,1851.0,399.816,1169.832,281.352,96.0
523,8255.0,1956.435,5002.53,1296.035,82.6
524,2725.0,509.575,1523.275,692.15,78.2
525,1565.0,452.285,829.45,281.7,81.1
526,11734.0,2734.022,5256.832,3743.146,75.9
527,1189.0,370.968,652.761,165.271,90.7
528,8814.0,2044.848,4944.654,1824.498,78.7
529,1300.0,200.2,578.5,521.3,68.5
530,24727.0,5786.118,14613.657,4327.225,81.7
531,44350.0,10865.75,27408.3,6075.95,108.6
532,20391.0,5444.397,13560.015,1386.588,94.2
533,15030.0,4313.61,9709.38,1007.01,83.2
534,1284.0,314.58,823.044,146.376,96.6
535,1965.0,322.26,1342.095,300.645,89.1
536,1184.0,264.032,757.76,162.208,85.5
537,1114.0,235.054,708.504,171.556,97.1
538,6405.0,1409.1,3759.735,1236.165,86.4
539,21228.0,4394.196,12821.712,4012.092,86.9
540,2377.0,603.758,1414.315,358.927,91.3
541,1027.0,212.589,622.362,192.049,83.7
542,7765.0,1677.24,4868.655,1219.105,83.9
543,1313.0,325.624,842.946,144.43,98.2
544,2134.0,352.11,1276.132,505.758,85.1
545,2397.0,107.865,2066.214,222.921,89.0
546,12703.0,2820.066,7659.909,2223.025,81.2
547,1825.0,441.65,919.8,465.375,80.2
548,6566.0,1687.462,3630.998,1247.54,83.1
549,12226.0,2750.85,7702.38,1772.77,90.3
550,1312.0,389.664,838.368,82.656,95.3
551,2477.0,490.446,1647.205,339.349,92.5
552,5377.0,1252.841,3242.331,876.451,85.1
553,25001.0,5100.204,16450.658,3450.138,87.6
554,3915.0,873.045,2364.66,677.295,82.0
555,2346.0,600.576,1485.018,258.06,88.0
556,16550.0,4104.4,10641.65,1803.95,91.5
557,16987.0,4807.321,10209.187,1970.492,88.8
558,65566.0,14490.086,39864.128,11211.786,84.8
559,1045.0,233.035,590.425,221.54,83.3
560,1364.0,361.46,777.48,223.696,88.0
561,1912.0,497.12,1200.736,214.144,86.2
562,5054.0,965.314,3305.316,783.37,93.2
563,15597.0,3524.922,10184.841,1887.237,93.9
564,5020.0,1234.92,3117.42,667.66,92.9
565,20608.0,5667.2,13395.2,1545.6,92.3
